"0","{""caldate"":""2024-06-17"",""mintemp"":""33.08""}"
"1","{""caldate"":""2024-06-16"",""mintemp"":""33.26""}"
"2","{""caldate"":""2024-06-15"",""mintemp"":""33.08""}"
"3","{""caldate"":""2024-06-14"",""mintemp"":""33.08""}"
"4","{""caldate"":""2024-06-13"",""mintemp"":""33.08""}"
"5","{""caldate"":""2024-06-12"",""mintemp"":""33.08""}"
"6","{""caldate"":""2024-06-11"",""mintemp"":""33.26""}"
"7","{""caldate"":""2024-06-10"",""mintemp"":""32.9""}"
"8","{""caldate"":""2024-06-09"",""mintemp"":""33.08""}"
"9","{""caldate"":""2024-06-08"",""mintemp"":""33.08""}"
"10","{""caldate"":""2024-06-07"",""mintemp"":""32.9""}"
"11","{""caldate"":""2024-06-06"",""mintemp"":""32.72""}"
"12","{""caldate"":""2024-06-05"",""mintemp"":""32.9""}"
"13","{""caldate"":""2024-06-04"",""mintemp"":""33.08""}"
"14","{""caldate"":""2024-06-03"",""mintemp"":""32.72""}"
"15","{""caldate"":""2024-06-02"",""mintemp"":""33.26""}"
"16","{""caldate"":""2024-06-01"",""mintemp"":""33.44""}"
